phoneNumber,country,displayName,category,identityType,verificationLevel,source,confidence,sourceClass,sourceUrl,expiresAt
+9118004251199,IN,Federal Bank Customer Care,BANKING,BUSINESS,VERIFIED,FEDERAL_BANK_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.federalbank.co.in/-/tele-banking,
+9118004201199,IN,Federal Bank Customer Care,BANKING,BUSINESS,VERIFIED,FEDERAL_BANK_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.federalbank.co.in/-/tele-banking,
+914842630994,IN,Federal Bank Customer Care,BANKING,BUSINESS,VERIFIED,FEDERAL_BANK_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.federalbank.co.in/-/tele-banking,
+914842630995,IN,Federal Bank Customer Care,BANKING,BUSINESS,VERIFIED,FEDERAL_BANK_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.federalbank.co.in/-/tele-banking,
+918061991199,IN,Federal Bank Customer Care,BANKING,BUSINESS,VERIFIED,FEDERAL_BANK_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.federalbank.co.in/-/tele-banking,
+9118002666868,IN,India Post Customer Care,GOVERNMENT_POSTAL,UNKNOWN,VERIFIED,INDIA_POST_OFFICIAL,100,GOVERNMENT_OFFICIAL,https://www.indiapost.gov.in/contactus,
+913322029000,IN,India Post Payments Bank Customer Support,BANKING_PUBLIC_SERVICE,BUSINESS,VERIFIED,INDIA_POST_OFFICIAL,100,PUBLIC_SERVICE_OFFICIAL,https://www.indiapost.gov.in/contactus,
+9118002581800,IN,Passport Seva National Call Centre,GOVERNMENT_PASSPORT,UNKNOWN,VERIFIED,PASSPORT_SEVA_OFFICIAL,100,GOVERNMENT_OFFICIAL,https://www.passportindia.gov.in/psp/RegisterFeedbackGrievance,
+9118605001066,IN,Apollo Hospitals Lifeline,HOSPITAL,BUSINESS,VERIFIED,APOLLO_HOSPITALS_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.apollohospitals.com/contact-us,
+914043441066,IN,Apollo Hospitals International Patient Helpline,HOSPITAL,BUSINESS,VERIFIED,APOLLO_HOSPITALS_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.apollohospitals.com/contact-us,
+9118005701033,IN,Apollo Hospitals Health Check Helpline,HOSPITAL,BUSINESS,VERIFIED,APOLLO_HOSPITALS_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.apollohospitals.com/contact-us,
+918800001068,IN,Medanta Customer Services,HOSPITAL,BUSINESS,VERIFIED,MEDANTA_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.medanta.org/contact-us,
+915224505050,IN,Medanta Super Speciality Hospital Lucknow,HOSPITAL,BUSINESS,VERIFIED,MEDANTA_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.medanta.org/contact-us,
+919268880303,IN,Max Healthcare Patient Support,HOSPITAL,BUSINESS,VERIFIED,MAX_HEALTHCARE_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.maxhealthcare.in/contact-us,
+911140554055,IN,Max Healthcare Delhi NCR Emergency,HOSPITAL,BUSINESS,VERIFIED,MAX_HEALTHCARE_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.maxhealthcare.in/contact-us,
+917710777107,IN,Max Healthcare Mohali Emergency,HOSPITAL,BUSINESS,VERIFIED,MAX_HEALTHCARE_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.maxhealthcare.in/contact-us,
+911357193333,IN,Max Healthcare Dehradun Emergency,HOSPITAL,BUSINESS,VERIFIED,MAX_HEALTHCARE_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.maxhealthcare.in/contact-us,
+911645212039,IN,Max Healthcare Bathinda Emergency,HOSPITAL,BUSINESS,VERIFIED,MAX_HEALTHCARE_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.maxhealthcare.in/contact-us,
+912261347777,IN,Max Healthcare Mumbai Emergency,HOSPITAL,BUSINESS,VERIFIED,MAX_HEALTHCARE_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.maxhealthcare.in/contact-us,
+917127120000,IN,Max Healthcare Nagpur Emergency,HOSPITAL,BUSINESS,VERIFIED,MAX_HEALTHCARE_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.maxhealthcare.in/contact-us,
+915226780001,IN,Max Healthcare Lucknow Emergency,HOSPITAL,BUSINESS,VERIFIED,MAX_HEALTHCARE_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.maxhealthcare.in/contact-us,
+9118005724000,IN,Max Healthcare Bhubaneswar Emergency,HOSPITAL,BUSINESS,VERIFIED,MAX_HEALTHCARE_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.maxhealthcare.in/contact-us,
+919910204023,IN,Max Healthcare Brain Attack Helpline,HOSPITAL_NEURO_EMERGENCY,BUSINESS,VERIFIED,MAX_HEALTHCARE_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.maxhealthcare.in/contact-us,
